interval,price,load_kw,pv_kw,购电量_kWh,充电量_kWh,放电量_kWh,光伏利用_kWh,弃光_kWh,时段初储电量_kWh,时段末储电量_kWh,购电费用_元
00:00-00:10,0.424800,3439.846600,0.000000,1406.641100,833.333333,0.000000,0.000000,0.000000,6000.000000,6750.000000,597.541139
00:10-00:20,0.424500,3437.979200,0.000000,1406.329867,833.333333,0.000000,0.000000,0.000000,6750.000000,7500.000000,596.987028
00:20-00:30,0.426900,3444.303100,0.000000,1407.383850,833.333333,0.000000,0.000000,0.000000,7500.000000,8250.000000,600.812166
00:30-00:40,0.427200,3454.443700,0.000000,1409.073950,833.333333,0.000000,0.000000,0.000000,8250.000000,9000.000000,601.956391
00:40-00:50,0.427100,3458.827300,0.000000,1409.804550,833.333333,0.000000,0.000000,0.000000,9000.000000,9750.000000,602.127523
00:50-01:00,0.428500,3459.840100,0.000000,576.640017,0.000000,0.000000,0.000000,0.000000,9750.000000,9750.000000,247.090247
01:00-01:10,0.431100,3467.158200,0.000000,577.859700,0.000000,0.000000,0.000000,0.000000,9750.000000,9750.000000,249.115317
01:10-01:20,0.430200,3467.963200,0.000000,577.993867,0.000000,0.000000,0.000000,0.000000,9750.000000,9750.000000,248.652961
01:20-01:30,0.427900,3466.968300,0.000000,911.161383,333.333333,0.000000,0.000000,0.000000,9750.000000,10050.000000,389.885956
01:30-01:40,0.431200,3482.492700,0.000000,580.415450,0.000000,0.000000,0.000000,0.000000,10050.000000,10050.000000,250.275142
01:40-01:50,0.433300,3495.084100,0.000000,582.514017,0.000000,0.000000,0.000000,0.000000,10050.000000,10050.000000,252.403323
01:50-02:00,0.431100,3498.444300,0.000000,583.074050,0.000000,0.000000,0.000000,0.000000,10050.000000,10050.000000,251.363223
02:00-02:10,0.429300,3505.229500,0.000000,584.204917,0.000000,0.000000,0.000000,0.000000,10050.000000,10050.000000,250.799171
02:10-02:20,0.432400,3512.638700,0.000000,585.439783,0.000000,0.000000,0.000000,0.000000,10050.000000,10050.000000,253.144162
02:20-02:30,0.436700,3516.868500,0.000000,586.144750,0.000000,0.000000,0.000000,0.000000,10050.000000,10050.000000,255.969412
02:30-02:40,0.434800,3517.924600,0.000000,586.320767,0.000000,0.000000,0.000000,0.000000,10050.000000,10050.000000,254.932269
02:40-02:50,0.433500,3518.551800,0.000000,586.425300,0.000000,0.000000,0.000000,0.000000,10050.000000,10050.000000,254.215368
02:50-03:00,0.435700,3521.097600,0.000000,586.849600,0.000000,0.000000,0.000000,0.000000,10050.000000,10050.000000,255.690371
